month,department,roles_open,applications,interviews,offers_made,offers_accepted,offer_accept_rate,time_to_fill_days
2022-09,Product,1,11,4,1,0,0.0,42
2022-10,Product,1,8,2,0,0,0.0,56
2022-11,Product,1,10,3,0,0,0.0,46
2022-12,Product,1,8,2,0,0,0.0,46
2023-01,Product,1,10,3,0,0,0.0,39
2023-02,Product,1,8,3,0,0,0.0,49
2023-03,Product,1,10,2,0,0,0.0,51
2023-04,Product,1,8,2,0,0,0.0,45
2023-05,Product,1,13,4,0,0,0.0,52
2023-06,Product,1,9,3,0,0,0.0,47
2023-07,Product,1,13,5,1,0,0.0,46
2023-08,Product,1,9,2,0,0,0.0,51
2023-09,Product,1,11,3,0,0,0.0,50
2023-10,Product,1,13,4,1,0,0.0,37
2023-11,Product,1,11,2,0,0,0.0,48
2023-12,Product,1,9,2,0,0,0.0,49
2024-01,Product,1,13,3,1,0,0.0,43
2024-02,Product,1,12,3,0,0,0.0,55
2024-03,Product,1,14,5,1,0,0.0,45
2024-04,Product,1,10,3,0,0,0.0,47
2024-05,Product,1,12,4,1,0,0.0,43
2024-06,Product,1,10,3,0,0,0.0,46
2024-07,Product,1,10,3,0,0,0.0,47
2024-08,Product,1,8,3,0,0,0.0,52
2024-09,Product,1,8,2,0,0,0.0,43
2024-10,Product,1,10,2,0,0,0.0,52
2024-11,Product,1,8,3,0,0,0.0,48
2024-12,Product,1,14,3,1,0,0.0,43
2022-01,HR,1,13,4,1,0,0.0,30
2022-02,HR,1,9,3,0,0,0.0,40
2022-03,HR,1,13,3,1,0,0.0,41
2022-04,HR,1,8,2,0,0,0.0,41
2022-05,HR,1,13,5,1,0,0.0,36
2022-06,HR,1,11,3,1,0,0.0,39
2022-07,HR,1,13,4,1,0,0.0,35
2022-08,HR,1,13,5,1,0,0.0,42
2022-09,HR,1,13,4,1,0,0.0,45
2022-10,HR,1,11,3,0,0,0.0,35
2022-11,HR,1,9,3,0,0,0.0,45
2022-12,HR,1,11,3,1,0,0.0,32
2023-01,HR,1,14,4,1,0,0.0,46
2023-02,HR,1,9,2,0,0,0.0,41
2023-03,HR,1,8,2,0,0,0.0,44
2023-04,HR,1,11,3,0,0,0.0,42
2023-05,HR,1,13,4,1,0,0.0,43
2023-06,HR,1,8,3,0,0,0.0,33
2023-07,HR,1,13,4,1,0,0.0,34
2023-08,HR,1,14,3,0,0,0.0,44
2023-09,HR,1,9,2,0,0,0.0,50
2023-10,HR,1,9,2,0,0,0.0,42
2023-11,HR,1,11,4,1,0,0.0,37
2023-12,HR,1,9,2,0,0,0.0,43
2024-01,HR,1,10,3,0,0,0.0,38
2024-02,HR,1,12,4,1,0,0.0,31
2024-03,HR,1,13,4,0,0,0.0,46
2024-04,HR,1,11,3,0,0,0.0,48
2024-05,HR,1,9,3,0,0,0.0,49
2024-06,HR,1,11,3,0,0,0.0,36
2024-07,HR,1,14,5,1,0,0.0,26
2024-08,HR,1,14,3,0,0,0.0,38
2024-09,HR,1,11,2,0,0,0.0,33
2024-10,HR,1,11,3,0,0,0.0,42
2024-11,HR,1,13,3,0,0,0.0,35
2024-12,HR,1,8,2,0,0,0.0,40
2022-01,Finance,1,8,2,0,0,0.0,37
2022-02,Finance,1,11,3,0,0,0.0,39
2022-03,Finance,1,10,2,0,0,0.0,47
2022-04,Finance,1,9,3,0,0,0.0,44
2022-05,Finance,1,13,3,0,0,0.0,39
2022-06,Finance,1,14,4,1,0,0.0,33
2022-07,Finance,1,10,3,0,0,0.0,39
2022-08,Finance,1,12,3,0,0,0.0,41
2022-09,Finance,1,12,3,0,0,0.0,44
2022-10,Finance,1,12,4,1,0,0.0,35
2022-11,Finance,1,10,2,0,0,0.0,34
2022-12,Finance,1,9,3,0,0,0.0,45
2023-01,Finance,1,12,3,0,0,0.0,38
2023-02,Finance,1,9,3,0,0,0.0,38
2023-03,Finance,1,8,2,0,0,0.0,44
2023-04,Finance,1,10,3,0,0,0.0,40
2023-05,Finance,1,13,5,1,0,0.0,36
2023-06,Finance,1,10,3,0,0,0.0,41
2023-07,Finance,1,9,3,0,0,0.0,32
2023-08,Finance,1,10,3,0,0,0.0,36
2023-09,Finance,1,14,4,1,0,0.0,35
2023-10,Finance,1,14,3,0,0,0.0,41
2023-11,Finance,1,10,3,0,0,0.0,38
2023-12,Finance,1,9,2,0,0,0.0,30
2024-01,Finance,1,12,4,0,0,0.0,35
2024-02,Finance,1,12,3,0,0,0.0,48
2024-03,Finance,1,12,4,0,0,0.0,39
2024-04,Finance,1,11,4,1,0,0.0,38
2024-05,Finance,1,13,4,1,0,0.0,38
2024-06,Finance,1,12,3,0,0,0.0,39
2024-07,Finance,1,8,2,0,0,0.0,42
2024-08,Finance,1,11,2,0,0,0.0,37
2024-09,Finance,1,10,3,0,0,0.0,38
2024-10,Finance,1,10,3,0,0,0.0,38
2024-11,Finance,1,9,2,0,0,0.0,39
2024-12,Finance,1,9,3,0,0,0.0,41
2022-01,Operations,1,14,3,0,0,0.0,35
2022-02,Operations,1,8,2,0,0,0.0,37
2022-03,Operations,1,11,3,0,0,0.0,41
2022-04,Operations,1,11,3,0,0,0.0,41
2022-05,Operations,1,14,5,1,0,0.0,21
2022-06,Operations,2,19,7,1,0,0.0,39
2022-07,Operations,1,9,2,0,0,0.0,40
2022-08,Operations,1,8,2,0,0,0.0,36
2022-09,Operations,1,9,2,0,0,0.0,43
2022-10,Operations,1,14,3,0,0,0.0,30
2022-11,Operations,1,8,2,0,0,0.0,49
2022-12,Operations,1,13,5,1,0,0.0,34
2023-01,Operations,1,11,3,0,0,0.0,39
2023-02,Operations,2,24,6,1,0,0.0,42
2023-03,Operations,1,11,4,1,0,0.0,33
2023-04,Operations,1,10,3,0,0,0.0,42
2023-05,Operations,1,11,4,1,0,0.0,34
2023-06,Operations,1,9,2,0,0,0.0,43
2023-07,Operations,1,12,3,0,0,0.0,45
2023-08,Operations,2,17,5,1,0,0.0,38
2023-09,Operations,1,13,3,0,0,0.0,44
2023-10,Operations,1,9,3,1,0,0.0,35
2023-11,Operations,2,20,7,2,1,0.5,35
2023-12,Operations,1,12,3,0,0,0.0,30
2024-01,Operations,1,8,2,0,0,0.0,29
2024-02,Operations,1,9,2,0,0,0.0,39
2024-03,Operations,1,11,3,1,0,0.0,42
2024-04,Operations,1,12,3,0,0,0.0,44
2024-05,Operations,1,12,4,0,0,0.0,32
2024-06,Operations,1,8,3,0,0,0.0,38
2024-07,Operations,1,10,3,0,0,0.0,35
2024-08,Operations,1,9,2,0,0,0.0,36
2024-09,Operations,1,10,3,1,0,0.0,33
2024-10,Operations,1,8,2,0,0,0.0,43
2024-11,Operations,2,26,9,2,1,0.5,28
2024-12,Operations,1,8,2,0,0,0.0,45
2022-01,Customer Success,1,10,3,0,0,0.0,37
2022-02,Customer Success,1,11,3,0,0,0.0,44
2022-03,Customer Success,1,9,3,0,0,0.0,42
2022-04,Customer Success,1,11,3,0,0,0.0,36
2022-05,Customer Success,1,12,4,1,0,0.0,33
2022-06,Customer Success,1,9,2,0,0,0.0,40
2022-07,Customer Success,1,11,3,0,0,0.0,42
2022-08,Customer Success,1,8,2,0,0,0.0,43
2022-09,Customer Success,1,8,2,0,0,0.0,37
2022-10,Customer Success,1,11,2,0,0,0.0,50
2022-11,Customer Success,1,11,3,0,0,0.0,44
2022-12,Customer Success,2,18,4,0,0,0.0,43
2023-01,Customer Success,2,23,7,1,0,0.0,37
2023-02,Customer Success,1,12,3,0,0,0.0,40
2023-03,Customer Success,1,9,2,0,0,0.0,40
2023-04,Customer Success,1,13,4,0,0,0.0,42
2023-05,Customer Success,1,9,3,0,0,0.0,35
2023-06,Customer Success,1,14,3,0,0,0.0,35
2023-07,Customer Success,1,13,5,1,0,0.0,39
2023-08,Customer Success,2,25,6,1,0,0.0,42
2023-09,Customer Success,1,14,4,0,0,0.0,42
2023-10,Customer Success,1,11,2,0,0,0.0,44
2023-11,Customer Success,1,14,4,0,0,0.0,38
2023-12,Customer Success,1,10,3,0,0,0.0,28
2024-01,Customer Success,1,9,2,0,0,0.0,40
2024-02,Customer Success,1,14,5,1,0,0.0,34
2024-03,Customer Success,1,8,2,0,0,0.0,45
2024-04,Customer Success,1,14,4,1,0,0.0,35
2024-05,Customer Success,1,8,3,0,0,0.0,30
2024-06,Customer Success,1,11,2,0,0,0.0,36
2024-07,Customer Success,2,18,5,1,0,0.0,42
2024-08,Customer Success,1,8,2,0,0,0.0,41
2024-09,Customer Success,2,20,6,1,0,0.0,42
2024-10,Customer Success,2,26,9,2,1,0.5,43
2024-11,Customer Success,1,8,2,0,0,0.0,40
2024-12,Customer Success,2,18,4,1,0,0.0,38
2022-01,Data,1,12,4,1,0,0.0,44
2022-02,Data,1,12,3,1,0,0.0,50
2022-03,Data,1,12,3,0,0,0.0,49
2022-04,Data,1,14,3,0,0,0.0,42
2022-05,Data,1,11,4,0,0,0.0,47
2022-06,Data,1,12,4,1,0,0.0,44
2022-07,Data,1,11,3,1,0,0.0,42
2022-08,Data,1,11,3,1,0,0.0,40
2022-09,Data,1,14,3,0,0,0.0,53
2022-10,Data,1,12,3,0,0,0.0,49
2022-11,Data,1,8,2,0,0,0.0,47
2022-12,Data,1,8,2,0,0,0.0,51
2023-01,Data,1,9,3,0,0,0.0,52
2023-02,Data,1,12,4,1,0,0.0,57
2023-03,Data,1,8,2,0,0,0.0,52
2023-04,Data,1,12,4,1,0,0.0,42
2023-05,Data,1,9,3,0,0,0.0,48
2023-06,Data,1,12,3,0,0,0.0,53
2023-07,Data,1,13,5,1,0,0.0,48
2023-08,Data,1,9,2,0,0,0.0,52
2023-09,Data,1,12,4,0,0,0.0,49
2023-10,Data,1,12,3,0,0,0.0,48
2023-11,Data,1,12,3,0,0,0.0,53
2023-12,Data,1,14,3,0,0,0.0,47
2024-01,Data,1,14,5,1,0,0.0,44
2024-02,Data,1,9,3,0,0,0.0,48
2024-03,Data,1,10,3,0,0,0.0,47
2024-04,Data,1,8,2,0,0,0.0,54
2024-05,Data,1,14,4,1,0,0.0,52
2024-06,Data,1,9,2,0,0,0.0,54
2024-07,Data,1,10,3,1,0,0.0,45
2024-08,Data,1,13,4,1,0,0.0,53
2024-09,Data,1,12,4,1,0,0.0,45
2024-10,Data,1,9,3,0,0,0.0,52
2024-11,Data,1,9,3,0,0,0.0,57
2024-12,Data,1,9,2,0,0,0.0,47
