employee_id,department,level,hire_date,exit_date,exit_reason,annual_salary,status
1962,Customer Success,IC4,2020-11-17,2023-10-01,Retirement,96674,Exited
1079,Engineering,IC1,2021-04-21,,,92280,Active
1140,Engineering,IC4,2026-01-28,,,174738,Active
1480,Sales,IC4,2023-04-05,2024-12-01,Involuntary,139025,Exited
2062,Data,IC2,2020-09-16,2022-12-01,Retirement,120374,Exited
1084,Engineering,IC4,2024-10-28,,,170704,Active
1553,Product,IC3,2025-12-06,,,121826,Active
1993,Data,IC3,2026-01-13,,,130011,Active
1632,HR,IC3,2025-01-27,,,86906,Active
1040,Engineering,IC3,2021-04-21,,,148111,Active
1031,Engineering,IC2,2022-11-20,,,121206,Active
1750,Operations,IC3,2023-09-09,,,80988,Active
1055,Engineering,Manager,2025-10-19,,,190854,Active
1576,Product,IC4,2022-03-28,,,161233,Active
1995,Data,IC4,2024-02-20,,,181448,Active
1523,Sales,IC4,2020-06-07,2022-06-01,Retirement,121973,Exited
1925,Customer Success,Manager,2020-04-30,2022-02-01,Involuntary,106676,Exited
1209,Engineering,IC3,2025-02-02,,,152679,Active
1004,Engineering,IC4,2025-02-20,,,161084,Active
1731,Operations,IC5,2025-01-13,,,129411,Active
1851,Customer Success,IC4,2022-09-10,,,96474,Active
1389,Sales,IC3,2022-07-14,,,103314,Active
1716,Finance,IC3,2020-12-20,2023-06-01,Involuntary,115115,Exited
1211,Engineering,IC1,2022-04-04,,,91753,Active
1810,Operations,IC5,2021-07-05,2023-11-01,Voluntary,114743,Exited
1059,Engineering,IC3,2024-08-14,,,148275,Active
1064,Engineering,IC3,2023-12-02,,,149163,Active
1618,Product,IC3,2021-11-24,2023-02-01,Voluntary,123414,Exited
1449,Sales,IC3,2023-11-20,,,102703,Active
1101,Engineering,IC3,2025-03-21,,,131491,Active
1487,Sales,IC5,2021-01-02,2023-11-01,Voluntary,156351,Exited
1313,Engineering,IC5,2021-04-06,2024-03-01,Voluntary,225832,Exited
1199,Engineering,IC2,2025-09-28,,,122641,Active
1200,Engineering,Director,2024-10-16,,,294863,Active
2040,Data,IC4,2022-11-30,2024-04-01,Voluntary,161523,Exited
1219,Engineering,IC2,2024-03-30,,,115642,Active
1159,Engineering,IC3,2021-09-28,,,137913,Active
1498,Sales,IC2,2022-05-05,2024-05-01,Voluntary,92239,Exited
2026,Data,IC2,2023-10-14,,,113143,Active
1597,Product,IC3,2025-05-22,,,125539,Active
1067,Engineering,IC3,2022-12-05,,,148356,Active
1994,Data,Director,2024-05-20,,,278067,Active
1068,Engineering,Manager,2021-04-28,,,196377,Active
1463,Sales,IC1,2021-05-31,2024-04-01,Retirement,75654,Exited
1013,Engineering,Manager,2022-10-17,,,186861,Active
1963,Customer Success,Director,2020-10-24,2022-09-01,Voluntary,137712,Exited
1245,Engineering,IC2,2020-01-20,2022-05-01,Voluntary,108439,Exited
1899,Customer Success,IC2,2024-01-19,,,65458,Active
1768,Operations,IC3,2025-03-16,,,83339,Active
1590,Product,IC1,2023-10-28,,,82329,Active
1690,Finance,IC4,2024-10-21,,,135146,Active
1300,Engineering,Director,2019-04-23,2022-03-01,Voluntary,262084,Exited
1476,Sales,IC4,2020-03-31,2022-08-01,Voluntary,144950,Exited
1452,Sales,IC1,2023-05-21,,,69247,Active
1914,Customer Success,IC2,2024-07-23,,,64157,Active
1185,Engineering,IC2,2024-11-29,,,116831,Active
1709,Finance,IC3,2023-01-07,2023-04-01,Involuntary,108961,Exited
1666,HR,IC5,2021-05-25,2023-09-01,Retirement,142336,Exited
1751,Operations,IC5,2021-11-30,,,116924,Active
1257,Engineering,IC4,2021-08-05,2022-08-01,Voluntary,172626,Exited
1295,Engineering,IC2,2023-02-15,2024-12-01,Voluntary,108028,Exited
1003,Engineering,IC5,2023-03-31,,,225886,Active
1466,Sales,IC3,2021-07-23,2022-11-01,Involuntary,107257,Exited
1544,Sales,IC3,2023-02-02,2024-01-01,Involuntary,104709,Exited
1534,Sales,Director,2019-05-01,2022-04-01,Voluntary,210139,Exited
1193,Engineering,IC3,2021-12-17,,,145198,Active
1299,Engineering,Manager,2022-06-22,2023-02-01,Retirement,184821,Exited
1778,Operations,IC5,2023-02-15,,,113638,Active
1815,Operations,IC2,2020-08-04,2023-06-01,Voluntary,65920,Exited
1329,Sales,IC1,2021-07-04,,,76118,Active
1363,Sales,IC1,2025-04-04,,,67809,Active
1877,Customer Success,IC2,2023-06-09,,,61978,Active
1869,Customer Success,IC1,2023-08-17,,,56209,Active
1954,Customer Success,IC2,2022-01-27,2023-07-01,Retirement,62650,Exited
1355,Sales,IC3,2023-10-16,,,99924,Active
1571,Product,IC2,2022-08-18,,,106517,Active
1663,HR,IC2,2019-01-23,2022-01-01,Voluntary,77775,Exited
1825,Operations,IC4,2023-12-11,2024-04-01,Voluntary,94680,Exited
2057,Data,IC2,2021-08-23,2022-07-01,Voluntary,107676,Exited
1335,Sales,IC5,2022-07-28,,,160311,Active
1881,Customer Success,IC3,2023-12-22,,,78941,Active
1495,Sales,IC4,2020-01-16,2022-12-01,Voluntary,137853,Exited
1650,HR,IC4,2022-11-16,,,107494,Active
1859,Customer Success,IC4,2022-09-15,,,96826,Active
1939,Customer Success,IC4,2021-11-15,2024-01-01,Retirement,88905,Exited
1378,Sales,IC4,2026-01-23,,,134690,Active
1107,Engineering,IC4,2025-07-16,,,157204,Active
1585,Product,Manager,2025-08-21,,,184910,Active
1056,Engineering,IC4,2023-09-15,,,163565,Active
1121,Engineering,IC2,2024-03-16,,,108095,Active
2007,Data,IC2,2023-01-11,,,113217,Active
1026,Engineering,IC4,2022-01-27,,,164605,Active
1073,Engineering,IC4,2022-10-06,,,159112,Active
1905,Customer Success,Manager,2021-11-21,,,113471,Active
1045,Engineering,IC4,2021-12-22,,,170364,Active
1310,Engineering,IC3,2023-05-09,2024-08-01,Voluntary,132006,Exited
1790,Operations,IC3,2021-09-21,,,77835,Active
1332,Sales,IC3,2022-04-19,,,114625,Active
1352,Sales,IC1,2024-08-17,,,70742,Active
1368,Sales,IC3,2022-12-25,,,118630,Active
1812,Operations,IC2,2021-12-08,2022-10-01,Involuntary,67707,Exited
1991,Data,IC1,2021-07-12,,,83535,Active
1309,Engineering,IC4,2022-03-11,2023-12-01,Voluntary,175581,Exited
1441,Sales,IC3,2025-10-16,,,105890,Active
1496,Sales,IC2,2022-06-13,2023-06-01,Involuntary,92981,Exited
1779,Operations,IC2,2022-03-02,,,68004,Active
1599,Product,IC1,2025-06-09,,,83696,Active
1926,Customer Success,Manager,2020-11-25,2023-04-01,Voluntary,121327,Exited
1786,Operations,IC2,2022-07-09,,,67368,Active
1210,Engineering,IC2,2023-08-31,,,126504,Active
1876,Customer Success,IC1,2021-09-30,,,51376,Active
2035,Data,IC1,2025-05-31,,,98164,Active
1721,Operations,IC3,2023-10-29,,,82781,Active
1524,Sales,IC4,2020-10-13,2022-12-01,Voluntary,132474,Exited
1371,Sales,IC2,2022-01-17,,,93089,Active
1061,Engineering,IC3,2025-10-30,,,153219,Active
1437,Sales,IC2,2023-08-07,,,96307,Active
1405,Sales,IC1,2024-12-14,,,74611,Active
1093,Engineering,IC3,2021-05-24,,,137345,Active
1696,Finance,IC2,2021-10-19,,,78404,Active
1244,Engineering,Director,2021-12-20,2023-07-01,Retirement,301438,Exited
1531,Sales,IC4,2022-12-11,2024-08-01,Involuntary,135817,Exited
1719,Operations,IC3,2025-07-27,,,77690,Active
1548,Product,IC4,2023-10-24,,,158604,Active
1616,Product,IC3,2021-05-08,2022-10-01,Retirement,125056,Exited
1836,Operations,IC3,2021-08-29,2024-04-01,Involuntary,76609,Exited
1656,HR,IC4,2021-12-24,,,118579,Active
1443,Sales,IC5,2025-10-17,,,155365,Active
1372,Sales,IC3,2022-07-29,,,100400,Active
2031,Data,IC2,2024-06-18,,,121688,Active
1985,Data,IC3,2021-06-12,,,148589,Active
1964,Customer Success,IC3,2023-03-16,2024-06-01,Voluntary,73876,Exited
1550,Product,IC5,2024-10-11,,,206441,Active
1823,Operations,IC4,2022-01-28,2023-02-01,Voluntary,102263,Exited
1183,Engineering,IC1,2021-10-30,,,95424,Active
1894,Customer Success,IC4,2023-09-09,,,97176,Active
1278,Engineering,IC3,2022-10-04,2023-07-01,Retirement,147962,Exited
1111,Engineering,IC1,2024-02-03,,,87530,Active
1353,Sales,IC2,2024-03-18,,,85916,Active
1912,Customer Success,IC3,2022-08-25,,,77313,Active
1651,HR,IC1,2025-12-26,,,55677,Active
1424,Sales,IC3,2022-02-04,,,116564,Active
1306,Engineering,IC3,2020-08-01,2022-06-01,Voluntary,132870,Exited
1450,Sales,IC5,2021-10-24,,,157600,Active
1262,Engineering,IC2,2022-08-08,2024-09-01,Involuntary,113991,Exited
1984,Data,IC2,2025-08-01,,,111223,Active
1502,Sales,Manager,2021-11-17,2023-05-01,Voluntary,159394,Exited
1934,Customer Success,IC4,2022-05-06,2023-10-01,Voluntary,93039,Exited
1138,Engineering,IC3,2023-12-28,,,145974,Active
1319,Engineering,IC3,2021-09-26,2023-06-01,Involuntary,136179,Exited
1847,Customer Success,IC1,2023-10-09,,,52712,Active
1308,Engineering,IC5,2023-05-26,2024-10-01,Voluntary,217357,Exited
1614,Product,IC3,2022-01-07,2023-04-01,Retirement,129838,Exited
1594,Product,IC4,2022-04-14,,,151684,Active
1030,Engineering,IC2,2022-08-17,,,127228,Active
1166,Engineering,IC2,2023-06-25,,,119200,Active
1249,Engineering,IC4,2022-03-07,2022-10-01,Involuntary,179007,Exited
1568,Product,IC1,2021-05-16,,,87854,Active
1986,Data,IC1,2025-04-03,,,93391,Active
1500,Sales,IC5,2022-04-06,2024-12-01,Voluntary,153545,Exited
1712,Finance,IC3,2020-07-16,2023-03-01,Voluntary,111732,Exited
1622,Product,IC4,2024-05-15,2024-09-01,Voluntary,158906,Exited
1540,Sales,IC4,2022-10-31,2023-01-01,Voluntary,133237,Exited
1066,Engineering,IC1,2023-08-24,,,89482,Active
1395,Sales,IC2,2022-05-22,,,95598,Active
1915,Customer Success,Manager,2022-05-29,,,115623,Active
1255,Engineering,IC1,2024-04-25,2024-08-01,Voluntary,103532,Exited
1820,Operations,IC2,2020-10-03,2023-06-01,Involuntary,72893,Exited
1579,Product,IC2,2023-11-05,,,98737,Active
1222,Engineering,IC1,2023-09-19,,,90541,Active
1236,Engineering,Manager,2021-05-04,2024-05-01,Voluntary,215540,Exited
1537,Sales,IC4,2021-03-07,2022-05-01,Involuntary,137018,Exited
1883,Customer Success,IC5,2022-07-02,,,112379,Active
1854,Customer Success,IC1,2025-05-21,,,53425,Active
1602,Product,IC2,2023-08-16,,,112631,Active
1997,Data,Manager,2024-10-26,,,187996,Active
1250,Engineering,IC1,2020-11-25,2022-02-01,Retirement,93766,Exited
1592,Product,IC3,2025-04-18,,,141994,Active
1430,Sales,IC1,2022-10-20,,,77078,Active
1072,Engineering,IC3,2024-01-25,,,132864,Active
1095,Engineering,IC2,2022-08-17,,,123630,Active
1034,Engineering,IC3,2024-12-15,,,158577,Active
1661,HR,IC3,2020-11-02,2022-10-01,Voluntary,92571,Exited
1260,Engineering,IC3,2020-06-11,2022-02-01,Voluntary,151610,Exited
1205,Engineering,IC2,2023-10-13,,,104931,Active
1897,Customer Success,IC2,2021-10-14,,,58244,Active
1637,HR,IC2,2023-01-13,,,69799,Active
1818,Operations,Manager,2021-03-11,2023-09-01,Voluntary,107476,Exited
1078,Engineering,IC5,2024-12-25,,,213558,Active
1085,Engineering,IC2,2025-03-21,,,109911,Active
1953,Customer Success,IC2,2020-02-26,2022-07-01,Voluntary,61849,Exited
1083,Engineering,IC3,2023-10-05,,,151760,Active
1433,Sales,IC3,2025-01-19,,,116417,Active
1454,Sales,IC2,2022-07-25,,,89416,Active
1494,Sales,IC2,2020-08-06,2023-02-01,Involuntary,87941,Exited
1882,Customer Success,IC3,2025-12-10,,,78241,Active
1381,Sales,IC3,2025-03-07,,,113881,Active
1698,Finance,Manager,2021-12-08,,,150419,Active
1347,Sales,IC2,2021-08-10,,,79784,Active
1006,Engineering,IC4,2021-11-23,,,185558,Active
1311,Engineering,IC5,2019-09-01,2022-04-01,Voluntary,212135,Exited
1542,Sales,IC4,2023-05-06,2024-04-01,Involuntary,141339,Exited
1105,Engineering,IC1,2023-04-19,,,95846,Active
1098,Engineering,IC1,2022-10-09,,,98706,Active
1333,Sales,IC3,2024-11-18,,,117076,Active
1459,Sales,IC4,2024-09-19,,,122706,Active
1315,Engineering,IC4,2022-01-10,2023-11-01,Voluntary,169543,Exited
1517,Sales,IC2,2019-07-20,2022-02-01,Voluntary,95234,Exited
1959,Customer Success,IC2,2019-09-27,2022-09-01,Involuntary,61592,Exited
1282,Engineering,IC2,2019-11-18,2022-11-01,Voluntary,118278,Exited
1267,Engineering,IC4,2022-09-05,2023-09-01,Voluntary,167420,Exited
1519,Sales,IC2,2022-04-10,2023-12-01,Voluntary,95146,Exited
1595,Product,IC2,2021-04-21,,,118790,Active
1865,Customer Success,IC2,2025-02-16,,,59710,Active
1561,Product,IC3,2025-03-28,,,135343,Active
1967,Customer Success,IC2,2023-01-16,2023-04-01,Voluntary,64822,Exited
1577,Product,IC3,2024-08-14,,,127020,Active
1119,Engineering,IC3,2021-07-16,,,157785,Active
1966,Customer Success,IC3,2021-05-24,2022-02-01,Voluntary,78579,Exited
1251,Engineering,IC3,2020-08-23,2023-04-01,Voluntary,157188,Exited
1426,Sales,IC3,2024-08-07,,,106015,Active
1286,Engineering,IC2,2019-05-04,2022-03-01,Voluntary,112803,Exited
1856,Customer Success,IC5,2022-04-25,,,126374,Active
1010,Engineering,IC4,2024-11-08,,,161070,Active
2000,Data,IC3,2025-01-18,,,127189,Active
1197,Engineering,IC3,2021-05-29,,,154433,Active
1669,Finance,IC3,2023-09-27,,,103060,Active
1082,Engineering,IC2,2024-09-06,,,113305,Active
1468,Sales,IC3,2019-08-13,2022-04-01,Voluntary,108756,Exited
1694,Finance,IC1,2025-10-26,,,70087,Active
1685,Finance,IC4,2024-11-04,,,134515,Active
1240,Engineering,IC5,2021-08-08,2022-01-01,Voluntary,193669,Exited
1362,Sales,IC2,2024-04-13,,,81316,Active
1212,Engineering,IC3,2023-02-11,,,145177,Active
1793,Operations,IC1,2024-05-31,,,56430,Active
1596,Product,Director,2025-07-20,,,269542,Active
1533,Sales,IC5,2022-08-09,2023-07-01,Voluntary,170575,Exited
1228,Engineering,Manager,2022-11-23,2024-03-01,Voluntary,192792,Exited
1947,Customer Success,IC4,2020-01-08,2022-12-01,Retirement,92283,Exited
1636,HR,IC2,2026-01-29,,,82467,Active
1425,Sales,IC3,2023-03-21,,,111743,Active
1980,Data,IC2,2021-05-11,,,102142,Active
1178,Engineering,IC3,2021-05-19,,,138363,Active
2030,Data,IC3,2024-04-23,,,127867,Active
1486,Sales,IC1,2022-12-12,2024-07-01,Retirement,70111,Exited
1451,Sales,IC4,2024-01-18,,,137517,Active
1546,Product,IC1,2024-06-08,,,79224,Active
1535,Sales,IC2,2020-04-18,2022-01-01,Retirement,90513,Exited
1809,Operations,IC2,2023-11-19,2024-07-01,Voluntary,72202,Exited
1458,Sales,IC3,2025-09-06,,,112654,Active
1008,Engineering,IC2,2025-02-23,,,117388,Active
2018,Data,IC3,2022-06-09,,,144830,Active
1156,Engineering,IC5,2024-09-15,,,198815,Active
1358,Sales,IC4,2025-05-10,,,137261,Active
1598,Product,IC1,2022-10-11,,,88530,Active
1224,Engineering,IC3,2023-12-26,,,159404,Active
1330,Sales,IC1,2024-03-19,,,74810,Active
1885,Customer Success,IC4,2021-07-07,,,97278,Active
1492,Sales,IC3,2021-06-08,2023-12-01,Voluntary,109189,Exited
1860,Customer Success,IC3,2022-10-27,,,87841,Active
1399,Sales,IC1,2025-10-14,,,70793,Active
1744,Operations,IC2,2022-04-18,,,63796,Active
1921,Customer Success,IC2,2023-12-03,,,61286,Active
1559,Product,IC1,2022-02-17,,,94794,Active
1717,Operations,IC3,2024-09-04,,,93316,Active
2029,Data,IC1,2023-12-31,,,83819,Active
1629,HR,Manager,2021-10-08,,,122443,Active
1567,Product,IC5,2022-03-23,,,210523,Active
1586,Product,IC4,2021-03-31,,,145800,Active
1645,HR,IC5,2023-10-04,,,129557,Active
1781,Operations,IC2,2023-02-26,,,63324,Active
1737,Operations,IC3,2024-02-15,,,91145,Active
1164,Engineering,IC5,2024-04-27,,,198338,Active
1229,Engineering,IC1,2020-02-14,2022-10-01,Voluntary,89722,Exited
1440,Sales,IC1,2022-09-09,,,69898,Active
2055,Data,IC2,2020-08-08,2022-04-01,Voluntary,111326,Exited
1213,Engineering,Manager,2025-10-13,,,205010,Active
1846,Customer Success,IC3,2021-05-29,,,84823,Active
1080,Engineering,IC5,2025-04-29,,,227099,Active
1149,Engineering,IC1,2022-05-15,,,88239,Active
1303,Engineering,IC2,2020-09-12,2022-07-01,Involuntary,110222,Exited
1421,Sales,IC1,2023-01-14,,,69889,Active
1406,Sales,IC1,2023-10-22,,,72984,Active
2011,Data,IC3,2023-11-04,,,144655,Active
2019,Data,IC3,2021-06-27,,,145450,Active
1044,Engineering,IC3,2025-05-20,,,130836,Active
1902,Customer Success,IC2,2021-06-13,,,62240,Active
1134,Engineering,IC3,2023-04-28,,,152520,Active
1844,Customer Success,IC4,2023-07-11,,,88542,Active
1312,Engineering,IC3,2023-04-16,2023-09-01,Involuntary,136441,Exited
1409,Sales,IC3,2023-01-08,,,111090,Active
1528,Sales,IC5,2022-07-02,2024-05-01,Retirement,166203,Exited
1811,Operations,IC3,2023-10-29,2024-04-01,Retirement,81641,Exited
1530,Sales,Manager,2020-07-03,2022-05-01,Voluntary,167635,Exited
1918,Customer Success,IC3,2023-03-12,,,86388,Active
1831,Operations,IC2,2022-07-11,2023-10-01,Involuntary,73087,Exited
1001,Engineering,IC4,2025-08-11,,,180268,Active
1361,Sales,IC2,2025-01-16,,,94560,Active
1383,Sales,IC4,2022-11-20,,,143894,Active
1317,Engineering,IC2,2021-01-11,2022-08-01,Voluntary,108731,Exited
1942,Customer Success,IC2,2021-07-25,2022-11-01,Voluntary,58583,Exited
1605,Product,IC3,2020-03-12,2023-03-01,Retirement,125793,Exited
1429,Sales,IC3,2026-02-11,,,102643,Active
1588,Product,IC2,2023-02-05,,,101597,Active
2028,Data,IC2,2024-12-05,,,118081,Active
1789,Operations,IC2,2024-02-07,,,68987,Active
1173,Engineering,IC2,2024-02-05,,,106242,Active
1126,Engineering,IC4,2021-09-14,,,184713,Active
1658,HR,IC1,2023-05-01,,,66832,Active
1520,Sales,IC3,2023-04-18,2024-02-01,Voluntary,120196,Exited
1799,Operations,IC3,2022-08-10,,,93047,Active
1996,Data,IC2,2025-09-23,,,119560,Active
1091,Engineering,IC4,2022-03-03,,,167916,Active
2033,Data,IC3,2022-09-23,,,144282,Active
1182,Engineering,Director,2025-10-25,,,272544,Active
1364,Sales,IC3,2021-07-16,,,105244,Active
1275,Engineering,IC4,2020-12-03,2022-07-01,Voluntary,159836,Exited
1787,Operations,IC4,2024-05-16,,,111402,Active
1987,Data,IC4,2023-08-10,,,175534,Active
1070,Engineering,IC2,2021-05-08,,,104883,Active
1292,Engineering,IC4,2021-08-22,2024-07-01,Voluntary,183239,Exited
1132,Engineering,IC2,2025-11-08,,,113059,Active
1301,Engineering,IC2,2022-06-15,2023-09-01,Voluntary,111561,Exited
1527,Sales,IC3,2021-10-28,2023-10-01,Voluntary,105405,Exited
1327,Engineering,IC2,2023-08-30,2024-07-01,Retirement,127532,Exited
1145,Engineering,IC2,2021-11-08,,,111009,Active
1573,Product,IC2,2023-01-12,,,115336,Active
1644,HR,IC3,2023-07-17,,,89548,Active
1707,Finance,IC4,2020-05-23,2022-01-01,Voluntary,132879,Exited
1136,Engineering,IC3,2022-11-28,,,131243,Active
1507,Sales,IC3,2020-10-13,2023-05-01,Voluntary,120988,Exited
1740,Operations,IC3,2024-05-01,,,90471,Active
1165,Engineering,IC1,2023-06-06,,,96926,Active
1029,Engineering,IC3,2021-07-11,,,149017,Active
1621,Product,IC2,2020-11-02,2022-06-01,Voluntary,106091,Exited
1194,Engineering,IC4,2024-10-25,,,157858,Active
1482,Sales,IC1,2021-10-06,2024-06-01,Retirement,70177,Exited
1704,Finance,IC3,2023-08-08,,,96961,Active
1434,Sales,IC2,2025-03-30,,,91117,Active
